estado,municipio,zona_sismica_CFE,grado_peligro_inundacion_CENAPRED,grado_vulnerabilidad_social_CENAPRED,tiene_ARM,z_sis,z_inund,z_vuln,sin_arm,s_sis,s_inund,s_vuln,beneficio,costo
Jalisco,Teocuitatlán de Corona,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,Tepatitlán de Morelos,B,Bajo,Bajo,Sí,2,2,2,0,0.3333333333333333,0.25,0.25,0.25416666666666665,50000
Jalisco,Tequila,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,Teuchitlán,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,Tizapán el Alto,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Jalisco,Tlajomulco de Zúñiga,C,Medio,Bajo,Sí,3,3,2,0,0.6666666666666666,0.5,0.25,0.4458333333333333,50000
Jalisco,Tlaquepaque,C,Medio,Bajo,Sí,3,3,2,0,0.6666666666666666,0.5,0.25,0.4458333333333333,50000
Jalisco,Tolimán,C,Medio,Alto,No,3,3,4,1,0.6666666666666666,0.5,0.75,0.6708333333333333,80000
Jalisco,Tomatlán,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
Jalisco,Tonalá,C,Bajo,Bajo,Sí,3,2,2,0,0.6666666666666666,0.25,0.25,0.3708333333333333,50000
Jalisco,Tonaya,D,Bajo,Medio,No,4,2,3,1,1.0,0.25,0.5,0.65,100000
Jalisco,Tonila,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Totatiche,B,Bajo,Alto,No,2,2,4,1,0.3333333333333333,0.25,0.75,0.47916666666666663,80000
Jalisco,Tototlán,B,Medio,Bajo,No,2,3,2,1,0.3333333333333333,0.5,0.25,0.4291666666666667,80000
Jalisco,Tuxcacuesco,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Jalisco,Tuxcueca,C,Alto,Bajo,No,3,4,2,1,0.6666666666666666,0.75,0.25,0.6208333333333332,80000
Jalisco,Tuxpan,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Unión de San Antonio,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,Unión de Tula,D,Medio,Medio,No,4,3,3,1,1.0,0.5,0.5,0.725,100000
Jalisco,Valle de Guadalupe,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,Valle de Juárez,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,San Gabriel,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,Villa Corona,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Jalisco,Villa Guerrero,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Villa Hidalgo,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,Cañadas de Obregón,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Jalisco,Yahualica de González Gallo,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Jalisco,Zacoalco de Torres,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,Zapopan,C,Bajo,Muy bajo,Sí,3,2,1,0,0.6666666666666666,0.25,0.0,0.3083333333333333,50000
Jalisco,Zapotiltic,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Jalisco,Zapotitlán de Vadillo,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Zapotlán del Rey,B,Alto,Bajo,No,2,4,2,1,0.3333333333333333,0.75,0.25,0.5041666666666667,80000
Jalisco,Zapotlanejo,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,San Ignacio Cerro Gordo,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Michoacán,Acuitzio,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Aguililla,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Álvaro Obregón,C,Alto,Alto,No,3,4,4,1,0.6666666666666666,0.75,0.75,0.7458333333333332,80000
Michoacán,Angamacutiro,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Angangueo,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Michoacán,Apatzingán,D,Alto,Medio,Sí,4,4,3,0,1.0,0.75,0.5,0.7,70000
Michoacán,Aporo,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Michoacán,Aquila,D,Muy alto,Muy alto,No,4,5,5,1,1.0,1.0,1.0,0.9999999999999999,100000
Michoacán,Ario,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Arteaga,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
Michoacán,Briseñas,C,Alto,Medio,No,3,4,3,1,0.6666666666666666,0.75,0.5,0.6833333333333332,80000
Michoacán,Buenavista,D,Medio,Medio,No,4,3,3,1,1.0,0.5,0.5,0.725,100000
Michoacán,Carácuaro,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Coahuayana,D,Muy alto,Alto,No,4,5,4,1,1.0,1.0,0.75,0.9374999999999999,100000
Michoacán,Coalcomán de Vázquez Pallares,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Coeneo,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Contepec,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Copándaro,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Cotija,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Cuitzeo,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Michoacán,Charapan,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Michoacán,Charo,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Chavinda,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Cherán,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Michoacán,Chilchota,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Michoacán,Chinicuila,D,Medio,Muy alto,No,4,3,5,1,1.0,0.5,1.0,0.85,100000
Michoacán,Chucándiro,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Churintzio,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Churumuco,D,Alto,Muy alto,No,4,4,5,1,1.0,0.75,1.0,0.9249999999999999,100000
Michoacán,Ecuandureo,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Epitacio Huerta,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Erongarícuaro,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Gabriel Zamora,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
Michoacán,Hidalgo,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Michoacán,La Huacana,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
Michoacán,Huandacareo,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Michoacán,Huaniqueo,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Huetamo,D,Alto,Alto,Sí,4,4,4,0,1.0,0.75,0.75,0.7625,70000
Michoacán,Huiramba,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Michoacán,Indaparapeo,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Michoacán,Irimbo,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Ixtlán,D,Muy alto,Alto,No,4,5,4,1,1.0,1.0,0.75,0.9374999999999999,100000
Michoacán,Jacona,C,Medio,Bajo,Sí,3,3,2,0,0.6666666666666666,0.5,0.25,0.4458333333333333,50000
Michoacán,Jiquilpan,C,Bajo,Bajo,Sí,3,2,2,0,0.6666666666666666,0.25,0.25,0.3708333333333333,50000
Michoacán,Juárez,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Jungapeo,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Lagunillas,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Michoacán,Lázaro Cárdenas,D,Muy alto,Medio,Sí,4,5,3,0,1.0,1.0,0.5,0.7749999999999999,70000
Michoacán,Los Reyes,C,Bajo,Medio,Sí,3,2,3,0,0.6666666666666666,0.25,0.5,0.4333333333333333,50000
Michoacán,Madero,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Maravatío,C,Bajo,Bajo,Sí,3,2,2,0,0.6666666666666666,0.25,0.25,0.3708333333333333,50000
Michoacán,Marcos Castellanos,C,Alto,Bajo,No,3,4,2,1,0.6666666666666666,0.75,0.25,0.6208333333333332,80000
Michoacán,Morelia,C,Bajo,Bajo,Sí,3,2,2,0,0.6666666666666666,0.25,0.25,0.3708333333333333,50000
Michoacán,Morelos,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Múgica,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
